iter	MultiClass
0	2.385937475
1	2.270891977
2	2.207850458
3	2.158252122
4	2.084189041
5	2.029159778
6	1.980689603
7	1.944531661
8	1.882844562
9	1.841334047
10	1.802471043
11	1.760563494
12	1.720231392
13	1.688248773
14	1.650066484
15	1.625935527
16	1.598624859
17	1.566304453
18	1.532203217
19	1.503513342
20	1.478534434
21	1.457760827
22	1.435537021
23	1.414147146
24	1.385168946
25	1.361094225
26	1.337705583
27	1.314640834
28	1.292299321
29	1.271239902
30	1.257839971
31	1.242224561
32	1.228629004
33	1.215441077
34	1.206740989
35	1.193992278
36	1.182912383
37	1.172541134
38	1.154797918
39	1.14095391
40	1.130409946
41	1.120498198
42	1.109602059
43	1.092039977
44	1.085241775
45	1.069471978
46	1.063453575
47	1.05468853
48	1.046044719
49	1.037988823
50	1.028095667
51	1.016457407
52	1.009539563
53	1.00478946
54	0.9939275212
55	0.9874320863
56	0.9808077294
57	0.9747592893
58	0.9651045445
59	0.9566427423
60	0.9490657046
61	0.9424909712
62	0.9336501057
63	0.9298667596
64	0.9233091237
65	0.9165699926
66	0.9135883747
67	0.9109753086
68	0.9043451648
69	0.8977264668
70	0.8911608065
71	0.8857565492
72	0.8791519478
73	0.8711543813
74	0.8658477941
75	0.8627942564
76	0.8560543463
77	0.852452902
78	0.8490610383
79	0.8450621099
80	0.8419427248
81	0.837548623
82	0.8338710009
83	0.8264506622
84	0.8215834574
85	0.8178833205
86	0.8133894194
87	0.8108276759
88	0.8048990333
89	0.7986678979
90	0.7946996373
91	0.7915429596
92	0.786948562
93	0.7825493182
94	0.7785199726
95	0.7722228296
96	0.7677298919
97	0.7637060896
98	0.7609254805
99	0.7565631985
100	0.7529631582
101	0.7524234867
102	0.7469083878
103	0.739097457
104	0.7342365518
105	0.7333045713
106	0.7287810996
107	0.7277535426
108	0.7238559627
109	0.72050234
110	0.7169186388
111	0.7125834464
112	0.70894754
113	0.7013865452
114	0.6992920558
115	0.6984397127
116	0.6949272225
117	0.6917401772
118	0.6892348977
119	0.6858995932
120	0.6822367236
121	0.6812333934
122	0.6773190633
123	0.6741981887
124	0.6719913309
125	0.6675765735
126	0.661185269
127	0.6606756594
128	0.6581457343
129	0.656677393
130	0.6562758317
131	0.6559858116
132	0.6514620501
133	0.6478006469
134	0.6442348811
135	0.6418466137
136	0.639977709
137	0.6359563914
138	0.6330614948
139	0.6278947847
140	0.6217188037
141	0.6200716029
142	0.6193218095
143	0.6139190585
144	0.6136637222
145	0.6107309645
146	0.6073944892
147	0.6053001768
148	0.6049482141
149	0.603846906
150	0.6032967567
151	0.598955349
152	0.5977504154
153	0.5950042637
154	0.5944326149
155	0.5913936763
156	0.5910094494
157	0.590776463
158	0.5902704683
159	0.5890113026
160	0.5874679152
161	0.5852896218
162	0.5822072747
163	0.5820448974
164	0.5810444044
165	0.5798343327
166	0.5770607489
167	0.5750349997
168	0.5711873311
169	0.570138784
170	0.5693827197
171	0.5674806531
172	0.5672357414
173	0.5657511492
174	0.5639638429
175	0.5637281298
176	0.5617262456
177	0.5587969648
178	0.5574356269
179	0.5566918242
180	0.5547639718
181	0.5533606248
182	0.5526808599
183	0.5488544588
184	0.5486006929
185	0.5464132935
186	0.5456615588
187	0.5440473791
188	0.5432615369
189	0.5418186829
190	0.5406406366
191	0.5404775902
192	0.5394842211
193	0.5357515587
194	0.535593947
195	0.5336659129
196	0.5320637394
197	0.5317848819
198	0.531567235
199	0.5290783555
200	0.5282840452
201	0.5263260211
202	0.5261084708
203	0.5258776304
204	0.5243787687
205	0.5219386453
206	0.5217338505
207	0.5200003074
208	0.5192962164
209	0.5186302282
210	0.5170365126
211	0.5153482588
212	0.5143507989
213	0.514161431
214	0.5132897529
215	0.5131177284
216	0.5105606968
217	0.5103889576
218	0.5097824381
219	0.5077979454
220	0.5064485072
221	0.5062834251
222	0.5051098405
223	0.5048728904
224	0.5021824169
225	0.5016667539
226	0.4995293715
227	0.4968108949
228	0.4966517109
229	0.4964642787
230	0.4962209704
231	0.495376699
232	0.4947915218
233	0.4938051186
234	0.4931361932
235	0.4930194941
236	0.4905731778
237	0.4903214708
238	0.4897488148
239	0.4890225151
240	0.4883849422
241	0.4877816955
242	0.4850700534
243	0.4848960003
244	0.482163504
245	0.482028782
246	0.4816224006
247	0.4798897268
248	0.4789162015
249	0.4786840958
250	0.477953777
251	0.4760797137
252	0.4746006396
253	0.4743962439
254	0.4725589616
255	0.4705617111
256	0.4693582133
257	0.467348795
258	0.467210356
259	0.4665462948
260	0.4664235069
261	0.4661379015
262	0.4650101316
263	0.464776958
264	0.462084719
265	0.4618561651
266	0.4613197844
267	0.4598112345
268	0.4595777985
269	0.4594363468
270	0.4588675621
271	0.4584473289
272	0.4580095282
273	0.4573391669
274	0.4567934224
275	0.4563172223
276	0.4551781414
277	0.4547174776
278	0.4537619098
279	0.4512942221
280	0.4503420441
281	0.4498327375
282	0.4492411368
283	0.4487561899
284	0.4465817913
285	0.4452630665
286	0.4449767299
287	0.4443929685
288	0.4437595238
289	0.4436238722
290	0.4429807437
291	0.442825654
292	0.4407228897
293	0.4390025577
294	0.4386431699
295	0.4383702032
296	0.4382070986
297	0.4367475799
298	0.4362940584
299	0.4359425542
300	0.4357420182
301	0.4356045392
302	0.434855047
303	0.434654943
304	0.4344494454
305	0.4339186374
306	0.433376912
307	0.4332427462
308	0.4328103978
309	0.4315989849
310	0.4314170894
311	0.4303520952
312	0.4276024086
313	0.4266090953
314	0.4264647885
315	0.4260681355
316	0.4244067292
317	0.4234578311
318	0.423045533
319	0.4213714781
320	0.4209437977
321	0.4205221017
322	0.4202304573
323	0.4200706009
324	0.4187495696
325	0.418538436
326	0.4181880251
327	0.417564397
328	0.4169738799
329	0.4151370577
330	0.4147237708
331	0.4145180802
332	0.4141509548
333	0.4133235002
334	0.4122293092
335	0.411917994
336	0.4117477219
337	0.4106121952
338	0.4104265182
339	0.4099842843
340	0.4081755374
341	0.4075686363
342	0.4068544139
343	0.4057448379
344	0.4026423041
345	0.4022332428
346	0.4009459334
347	0.4004776473
348	0.4002555055
349	0.399279929
350	0.3961551653
351	0.3951668114
352	0.3944180561
353	0.3941060231
354	0.3930892537
355	0.3929318401
356	0.3923098568
357	0.3918629478
358	0.391389232
359	0.3912505194
360	0.3910782545
361	0.3905615306
362	0.3900407311
363	0.3886399803
364	0.388403346
365	0.3883047178
366	0.3881787205
367	0.3866873663
368	0.3865527128
369	0.3856606304
370	0.3851889904
371	0.384968336
372	0.3842945949
373	0.3831281155
374	0.3819590717
375	0.3812086774
376	0.3805016405
377	0.3800635604
378	0.3799124819
379	0.3796390748
380	0.3790625453
381	0.3779674459
382	0.3766683438
383	0.3747946975
384	0.3742846769
385	0.3741551491
386	0.3740225518
387	0.3733938634
388	0.3724522581
389	0.3716475439
390	0.3714917119
391	0.3711059853
392	0.3706820407
393	0.369971444
394	0.3688884727
395	0.3683295537
396	0.3679811634
397	0.3676601912
398	0.366923096
399	0.3662393958
400	0.3655954828
401	0.3646026111
402	0.3643606859
403	0.3640457697
404	0.3624654076
405	0.3610246502
406	0.3593000036
407	0.356377303
408	0.3555651022
409	0.354846225
410	0.3539689034
411	0.3520838577
412	0.3516376667
413	0.3514742894
414	0.3507095041
415	0.3497326926
416	0.3493866012
417	0.3479526085
418	0.347399545
419	0.3472680347
420	0.3467254244
421	0.3458902337
422	0.3434320366
423	0.3429407838
424	0.3426273779
425	0.3424134452
426	0.3420165391
427	0.3414599974
428	0.3405617004
429	0.3401910996
430	0.33964527
431	0.3395185716
432	0.3393467701
433	0.338708281
434	0.3383044678
435	0.337519933
436	0.3363276873
437	0.3356717729
438	0.335301386
439	0.3351743484
440	0.334689581
441	0.3345362612
442	0.3343734171
443	0.3339616737
444	0.3332680054
445	0.3327048869
446	0.332450712
447	0.3316363913
448	0.3314620463
449	0.3307248199
450	0.3302759483
451	0.3294837734
452	0.3292212971
453	0.3291181138
454	0.3290016258
455	0.3288871493
456	0.3282066093
457	0.3278539717
458	0.3277546435
459	0.3271928029
460	0.3267269516
461	0.3266289133
462	0.3264267434
463	0.3261043115
464	0.3259966782
465	0.3258682523
466	0.3256515098
467	0.3249060675
468	0.323809864
469	0.3226975895
470	0.3224127223
471	0.3218241602
472	0.3216916091
473	0.3215638497
474	0.3212813884
